id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49425026,Pacific Heights Lovely Terrace Entire Apartment,72784264,Maria,,Presidio Heights,37.78924,-122.44739,Entire home/apt,250,3,16,2021-10-24,3.48,1,50,16,pending
49426120,lb SFSU/Lakeshore beautiful 1bd/1ba private entry,62034618,Ting Ting,,Lakeshore,37.72855,-122.49281,Private room,59,30,0,,,23,356,0,
49435568,Awesome View San Francisco,5928633,Derek,,Bernal Heights,37.74555,-122.41782,Entire home/apt,525,2,7,2021-11-27,1.37,2,102,7,City Registration Pending
49440710,Cute 1 bed overlooking Courtyard,371841329,Moriah,,South of Market,37.77311,-122.41639,Entire home/apt,295,30,0,,,20,0,0,
49444697,754A - Peaceful Convenient 2B1B in Excelsior,398787940,Fa Hui,,Excelsior,37.71789,-122.43813,Entire home/apt,108,1,10,2021-11-07,10,2,146,10,pending
49466058,Fabulous Mission studio - close to everything!,5013890,Jessica,,Mission,37.75013,-122.40913,Entire home/apt,79,30,0,,,1,129,0,
49467545,Bright and Spacious City View Room with 1 King Bed,323621670,Hotel Caza,,Russian Hill,37.80567,-122.41845,Private room,182,1,3,2021-11-21,2.81,6,47,3,Licensed Hotel/B&B
49467562,Hayes Valley Classic Victorian Flat,6456352,Heidi,,Western Addition,37.77558,-122.42929,Entire home/apt,310,4,4,2021-08-01,0.72,1,93,4,pending
49469550,Stunning Room--Amazing Russian Hill View Penthouse,25482,Karen,,Russian Hill,37.797382,-122.413826,Private room,80,30,1,2021-09-12,0.36,2,264,1,
49471125,"2 bedrooms, 2.5 bath, private house in Bernal Glen",1996629,Pablo,,Bernal Heights,37.73337,-122.42663,Entire home/apt,276,1,1,2021-05-31,0.16,6,0,1,STR-0004764
49484732,CLUB WYHDHAM CANTERBURY,36119859,Michael,,Financial District,37.78911,-122.40274,Entire home/apt,350,7,0,,,2,351,0,STR-0005793
49485053,CLUB WYHDHAM CANTERBURY,36119859,Michael,,Downtown/Civic Center,37.78809,-122.41205,Entire home/apt,350,7,0,,,2,357,0,STR-0000579
49500530,The best golden gate view apartment,30180310,Kamila,,Pacific Heights,37.79407,-122.42958,Entire home/apt,100,30,0,,,1,0,0,
49502271,Spacious Apt near the Palace of Fine Arts,399245258,Hillary,,Marina,37.79976,-122.44481,Entire home/apt,140,30,1,2021-07-02,0.19,1,112,1,
49502419,Bright and Spacious Deluxe Room with 2 Queen Beds,323621670,Hotel Caza,,North Beach,37.80698,-122.41918,Private room,160,1,25,2021-11-28,25,6,96,25,Licensed Hotel/B&B
49516037,Bright and Spacious City View Rm with 2 Queen Beds,323621670,Hotel Caza,,North Beach,37.80731,-122.41726,Private room,193,1,9,2021-11-28,1.39,6,37,9,Licensed Hotel/B&B
49516251,Bright and spacious room with Partial Bay Views,323621670,Hotel Caza,,Russian Hill,37.80545,-122.41921,Private room,182,1,1,2021-05-31,0.16,6,45,1,Licensed Hotel/B&B
49516304,Bright and Spacious Suite with 1 King Bed,323621670,Hotel Caza,,North Beach,37.80742,-122.41879,Private room,313,1,0,,,6,39,0,Licensed Hotel/B&B
49518431,"Brand New, Modern Studio in Pacific Heights",129904961,Galina,,Pacific Heights,37.79429,-122.42469,Entire home/apt,100,30,1,2021-06-09,0.17,5,212,1,
49523008,Hayes Valley - QUIET cozy condo near food/bars/art,35173152,Al,,Downtown/Civic Center,37.774441,-122.420944,Entire home/apt,115,30,2,2021-09-08,0.49,1,42,2,
49546855,Stunning Historical Home in SF's Best Neighborhood,653275,Annie,,Castro/Upper Market,37.76463,-122.44376,Entire home/apt,625,110,0,,,2,243,0,
49548489,Private and spacious Master suite in San Francisco,2664948,Scott,,Inner Sunset,37.75495,-122.46014,Entire home/apt,57,30,2,2021-12-01,0.38,1,181,2,
49552114,1333-2 - Nice 2B2B Apt near GG Park/Bridge & Geary,391178356,Jenny,,Inner Richmond,37.77761,-122.47218,Entire home/apt,133,30,1,2021-09-18,0.38,2,113,1,
49563383,Blake & Sara's Sunset Home,23982718,Blake & Sara,,Outer Sunset,37.7595,-122.50489,Entire home/apt,185,30,1,2021-07-12,0.21,2,248,1,
49570842,Nob Hill Gem! Your home in the heart of SF!!,15876355,Ray,,Nob Hill,37.79485,-122.41352,Entire home/apt,211,2,56,2021-11-29,8.62,2,109,56,pending
49571120,Modern & stylish flat with backyard you will love!,4372184,Monica,,Potrero Hill,37.76014,-122.40344,Entire home/apt,550,30,1,2021-09-16,0.37,1,114,1,
49585352,Modern Luxury House in Tree Filled Oasis,305422,Jean,,Haight Ashbury,37.76643,-122.4503,Entire home/apt,350,9,1,2021-07-09,0.20,1,7,1,pending
49589574,Noe Valley Firehouse Flat,400010133,Kyle,,Bernal Heights,37.74552,-122.42322,Entire home/apt,283,30,22,2021-11-28,5.69,1,333,22,City Registration Pending
49590380,NEW Spacious Modern 1B | high rise | next to FiDi,7371799,Suhani,,South of Market,37.78636,-122.39408,Entire home/apt,180,30,0,,,1,0,0,
49590718,350 Prague · Excelsior home 2 blocks from John McLaren Park,375204509,Bungalow,,Visitacion Valley,37.71553,-122.42799,Entire home/apt,388,30,0,,,22,253,0,
49591060,Charming Garden-Apartment near Dolores Park,2463273,Ingrid,,Mission,37.75862,-122.42376,Entire home/apt,100,3,27,2021-11-26,7.30,2,74,27,STR-0000253
49591775,Mission Escape,60220775,Hanna,,Mission,37.76854,-122.4217,Entire home/apt,250,3,7,2021-11-29,1.36,1,84,7,pending
49592154,The Haven - SF Marina,105835535,Peter,,Marina,37.80015,-122.43413,Entire home/apt,149,30,13,2021-11-01,1.95,1,351,13,pending
49592921,CUTEST house in Bernal / sunset view / deck+garden,216743744,Nina,,Bernal Heights,37.739,-122.41786,Entire home/apt,390,3,3,2021-11-29,0.64,1,14,3,City Registration Pending
49593662,Modern Upper Market/Castro hi amenity studio home!,10162964,Shelley,,Castro/Upper Market,37.76136,-122.44253,Entire home/apt,94,30,2,2021-08-15,0.35,5,360,2,
49595336,"1628 - Luxury 3B3B at SF near Bart, Beach & Golf",389843649,Khoang,,Outer Mission,37.71493,-122.44787,Entire home/apt,248,2,30,2021-11-28,4.71,1,127,30,STR-0004623
